,idade,individuo_id,area_foliar_especifica,area_foliar_individual,comprimento_foliar,largura_foliar,potencial_hidrico_foliar,target_final
220,6,3181.0,112.66,34.62,11.0,5.24,,1
221,18,3181.0,92.58,41.03,15.52,4.24,-2.55,1
222,30,3181.0,102.34,36.84,11.45,4.92,-2.93,1
223,36,3181.0,93.26,41.83,14.24,4.82,-2.24,1
224,6,3749.0,91.52,63.77,12.75,7.56,-1.57,1
225,18,3749.0,92.03,58.95,14.84,6.1,-2.71,1
226,36,3749.0,112.5,75.1,15.32,7.35,-2.8,1
227,6,575.0,128.89,15.07,7.23,2.92,-4.1,0
228,6,1198.0,131.52,16.81,8.29,2.87,-2.23,0
229,18,1198.0,86.64,31.56,12.45,4.06,-2.6,0
230,6,2591.0,108.45,29.99,10.48,4.18,-2.21,1
231,18,2591.0,89.28,29.76,13.85,3.47,-2.42,1
232,36,2591.0,117.42,34.23,14.72,3.45,-3.05,1
233,6,3302.0,,,,,-2.16,1
234,6,3844.0,109.31,71.52,13.27,7.66,-2.53,1
235,18,3844.0,77.96,49.11,16.6,4.94,-2.17,1
236,6,2745.0,,,,,-2.3,1
237,6,1209.0,125.37,29.75,10.06,4.08,-2.0,1
238,18,1209.0,,,,,-1.9,1
239,30,1209.0,87.79,30.05,12.08,3.69,-1.67,1
240,6,2892.0,98.78,31.64,11.3,4.07,-2.44,1
241,6,2564.0,130.81,41.19,12.38,4.66,-2.3,1
242,18,2564.0,85.65,44.84,13.65,4.94,-1.8,1
243,36,2564.0,86.96,44.04,19.31,4.45,-2.61,1
244,6,3081.0,106.51,27.83,11.0,3.99,,1
245,18,3081.0,71.48,58.65,16.98,5.42,-2.15,1
246,30,3081.0,109.75,51.58,13.45,5.62,-2.7,1
247,6,3767.0,102.7,48.22,13.17,4.92,-2.19,1
248,18,3767.0,88.61,36.92,15.27,3.82,-2.77,1
249,6,587.0,,,,,-2.45,1
250,6,1190.0,92.36,14.8,7.14,2.97,-1.5,0
251,6,2406.0,132.93,22.72,8.74,4.12,-1.68,0
252,6,2439.0,149.9,33.18,11.96,4.19,-1.78,0
253,6,3430.0,129.48,25.32,8.81,4.34,,1
254,6,4015.0,,,,,-1.9,0
255,6,536.0,173.25,35.48,9.68,4.94,-1.84,0
256,18,536.0,93.86,53.97,15.82,5.09,-2.76,0
257,6,1193.0,,,,,-2.7,0
258,18,1193.0,116.91,39.86,12.56,5.13,-3.51,0
259,6,1822.0,140.52,43.97,10.45,6.08,-2.8,0
260,18,1822.0,111.93,32.21,10.88,4.14,-3.1,0
261,6,2703.0,155.31,20.79,9.29,3.66,-2.15,0
262,18,2703.0,,,,,,0
